,Start,End,Attenuation
0,A,B,0.0207600136764
1,A,C,0.515347564796
2,A,D,0.00730093216934
3,B,A,0.0207600136764
4,B,C,0.0285554331261
5,B,D,0.0178849636526
6,C,A,0.515347564796
7,C,B,0.0285554331261
8,C,D,0.0076323188349
9,D,A,0.00730093216934
10,D,B,0.0178849636526
11,D,C,0.0076323188349
